USER         LWP    PPID NLWP
mario      32314    1427   11
mario      32315    1427   11
mario      32316    1427   11
mario      32317    1427   11
mario      32323    1427   11
mario      32328    1427   11
mario      32329    1427   11
mario      32330    1427   11
mario      32331    1427   11
root       35639       2    1
mario      35795    7900   20
mario      35799    7900   20
mario      35800    7900   20
mario      35801    7900   20
mario      35802    7900   20
mario      35804    7900   20
mario      35805    7900   20
mario      35806    7900   20
mario      35807    7900   20
mario      35808    7900   20
mario      35809    7900   20
mario      40913    7900   20
mario      40916    7900   20
mario      40917    7900   20
mario      40918    7900   20
mario      40919    7900   20
mario      40920    7900   20
mario      40921    7900   20
mario      40922    7900   20
mario      40924    7900   20
root       38714       2    1
root       38817       2    1
root       40402       2    1
root       40778       2    1
mario      40808    7900   21
mario      40812    7900   21
mario      40813    7900   21
mario      40814    7900   21
mario      40815    7900   21
mario      40817    7900   21
mario      40818    7900   21
mario      40819    7900   21
mario      40820    7900   21
mario      40821    7900   21
mario      40822    7900   21
mario      41495    7900   21
mario      41497    7900   21
mario      41498    7900   21
mario      41499    7900   21
mario      41500    7900   21
mario      41501    7900   21
mario      41502    7900   21
mario      41503    7900   21
mario      41505    7900   21
mario      42527    7900   21
mario      40851    7900   21
mario      40857    7900   21
mario      40858    7900   21
mario      40859    7900   21
mario      40860    7900   21
mario      40862    7900   21
mario      40863    7900   21
mario      40865    7900   21
mario      40867    7900   21
mario      40868    7900   21
mario      40869    7900   21
mario      41681    7900   21
mario      41698    7900   21
mario      41699    7900   21
mario      41700    7900   21
mario      41701    7900   21
mario      41705    7900   21
mario      41706    7900   21
mario      41707    7900   21
mario      41724    7900   21
mario      41726    7900   21
root       40899       2    1
mario      40925    7900   11
mario      40929    7900   11
mario      40930    7900   11
mario      40931    7900   11
mario      40932    7900   11
mario      40934    7900   11
mario      40935    7900   11
mario      40936    7900   11
mario      40937    7900   11
mario      40938    7900   11
mario      40939    7900   11
root       41451       2    1
root       41485       2    1
mario      41512    7900   11
mario      41518    7900   11
mario      41519    7900   11
mario      41520    7900   11
mario      41521    7900   11
mario      41523    7900   11
mario      41524    7900   11
mario      41525    7900   11
mario      41528    7900   11
mario      41529    7900   11
mario      41530    7900   11
mario      41682    7900   11
mario      41686    7900   11
mario      41687    7900   11
mario      41688    7900   11
mario      41689    7900   11
mario      41691    7900   11
mario      41692    7900   11
mario      41693    7900   11
mario      41694    7900   11
mario      41695    7900   11
mario      41696    7900   11
root       42218       2    1
mario      42225    1427   16
mario      42227    1427   16
mario      42229    1427   16
mario      42231    1427   16
mario      42236    1427   16
mario      42255    1427   16
mario      42256    1427   16
mario      42257    1427   16
mario      42258    1427   16
mario      42259    1427   16
mario      42260    1427   16
mario      42733    1427   16
mario      43538    1427   16
mario      43720    1427   16
mario      43734    1427   16
mario      43743    1427   16
root       42360       2    1
root       42404       2    1
root       42872       2    1
root       42873       2    1
root       42874       2    1
mario      43760   32312    1
mario      43761   43760    1
